notification_date;window_size;lambda_ih;lambda_if;lambda_hu;lambda_hf;lambda_uf
2020-06-17;75 days 00:00:00.000000000;0.0611740473738414;0.027548918640576726;0.1531986531986532;0.3451178451178451;0.7197802197802198
2020-08-10;75 days 00:00:00.000000000;0.07144579281523748;0.02786707385678695;0.10967379077615298;0.2831833520809899;0.6051282051282051
2020-10-11;75 days 00:00:00.000000000;0.0775401779784832;0.015327400717226724;0.08941418293936279;0.15861596437136005;0.36398467432950193
2020-09-26;75 days 00:00:00.000000000;0.07650329489291598;0.018513179571663922;0.09771197846567968;0.18492597577388964;0.4214876033057851
2020-07-01;75 days 00:00:00.000000000;0.06383651111345202;0.028020646792373326;0.1331133113311331;0.3278327832783278;0.6983471074380165
2020-04-28;75 days 00:00:00.000000000;0.04230349344978166;0.013100436681222707;0.18064516129032257;0.23225806451612904;0.6785714285714286
2020-07-26;75 days 00:00:00.000000000;0.06701615831517792;0.029025962236746552;0.12292583813071453;0.3132407720961734;0.6556473829201102
2020-08-20;75 days 00:00:00.000000000;0.07195481815872272;0.027066111664810145;0.10673546985334058;0.27403585008147746;0.5979643765903307
2020-03-22;75 days 00:00:00.000000000;0.05811623246492986;0.01002004008016032;0.16091954022988506;0.14942528735632185;0.35714285714285715
2020-10-16;75 days 00:00:00.000000000;0.07530632584862519;0.014217036993609662;0.08991825613079019;0.15103152977812379;0.3593073593073593
2020-06-19;75 days 00:00:00.000000000;0.06233088060764301;0.027676240208877285;0.146991622239147;0.33587204874333587;0.7202072538860104
2020-09-22;75 days 00:00:00.000000000;0.07585449500982622;0.01890100574158992;0.09550419100838202;0.1889763779527559;0.4308510638297872
2020-05-21;75 days 00:00:00.000000000;0.046787353391126975;0.017975522692503826;0.21798365122615804;0.31607629427792916;0.7375
2020-07-17;75 days 00:00:00.000000000;0.06521905931097982;0.028798690503593443;0.12431372549019608;0.3227450980392157;0.6908517350157729
2020-05-27;75 days 00:00:00.000000000;0.05042692114515319;0.020291310899045706;0.20119521912350596;0.3346613545816733;0.7524752475247525
2020-03-26;75 days 00:00:00.000000000;0.054273237679351216;0.010605115408608859;0.13793103448275862;0.16091954022988506;0.4166666666666667
2020-08-08;75 days 00:00:00.000000000;0.0715130023640662;0.02818537539740768;0.11085779424337418;0.286691365061271;0.6169665809768637
2020-08-26;75 days 00:00:00.000000000;0.07258330583965687;0.025947561472626002;0.10427807486631016;0.26229946524064174;0.5871794871794872
2020-09-13;75 days 00:00:00.000000000;0.07630306286942504;0.021570584171336456;0.09708249496981891;0.21202213279678067;0.4792746113989637
2020-07-20;75 days 00:00:00.000000000;0.06589553147449166;0.028856690612443687;0.12490761271249076;0.319660014781966;0.6863905325443787
2020-03-24;75 days 00:00:00.000000000;0.054838709677419356;0.00967741935483871;0.1411764705882353;0.15294117647058825;0.4166666666666667
2020-09-24;75 days 00:00:00.000000000;0.0762218735725776;0.01858876333088396;0.09666492965085982;0.18577384054194893;0.41778975741239893
2020-04-06;75 days 00:00:00.000000000;0.049892703862660946;0.01072961373390558;0.12903225806451613;0.16129032258064516;0.4166666666666667
2020-09-16;75 days 00:00:00.000000000;0.07641323295596039;0.0208800260521426;0.09726748558535973;0.2058159939834545;0.4587628865979381
2020-06-29;75 days 00:00:00.000000000;0.06308940712040353;0.02818188464069011;0.13962920046349941;0.3348783314020857;0.7012448132780082
2020-03-25;75 days 00:00:00.000000000;0.05446485117162761;0.01013299556681444;0.13953488372093023;0.16279069767441862;0.4166666666666667
2020-09-06;75 days 00:00:00.000000000;0.07506702412868632;0.023280035489035046;0.10149023638232271;0.22995889003083247;0.5164556962025316
2020-09-30;75 days 00:00:00.000000000;0.07664550908616642;0.017694113555343012;0.09614293817356778;0.1781055019852524;0.41002949852507375
2020-09-21;75 days 00:00:00.000000000;0.07542984967109628;0.019013857557202706;0.09600402111083187;0.1905001256597135;0.4319371727748691
2020-09-29;75 days 00:00:00.000000000;0.07699250059092765;0.017985688806755915;0.09684621825286073;0.18001674574379012;0.40634005763688763
2020-08-23;75 days 00:00:00.000000000;0.07217652182328463;0.026826671828123486;0.10673102708500938;0.2716545990882274;0.5979899497487438
2020-09-10;75 days 00:00:00.000000000;0.07582078022402472;0.022441096948628815;0.09908303616912889;0.22134488028527763;0.5038560411311054
2020-04-02;75 days 00:00:00.000000000;0.05244956772334294;0.012103746397694525;0.13186813186813187;0.17582417582417584;0.4166666666666667
2020-07-02;75 days 00:00:00.000000000;0.06383487680688925;0.02798756108396268;0.13436830835117772;0.32762312633832974;0.7051792828685259
2020-09-15;75 days 00:00:00.000000000;0.07607565193944764;0.021224143908169946;0.09822784810126582;0.209873417721519;0.47680412371134023
2020-07-25;75 days 00:00:00.000000000;0.06681089042829855;0.028975167429978597;0.12159834653806408;0.313468825353083;0.660056657223796
2020-08-24;75 days 00:00:00.000000000;0.07200987387665368;0.02638176418405523;0.10551687198714516;0.2678093197643278;0.5913705583756346
2020-10-04;75 days 00:00:00.000000000;0.07683281704684126;0.01656810288181733;0.09254734270006108;0.1686010995723885;0.37293729372937295
2020-07-19;75 days 00:00:00.000000000;0.06547164700957821;0.02871001895944648;0.12636329447160588;0.3207972922151185;0.6845238095238095
2020-04-07;75 days 00:00:00.000000000;0.04925053533190578;0.010171306209850108;0.13043478260869565;0.16304347826086957;0.4166666666666667
2020-04-18;75 days 00:00:00.000000000;0.03896103896103896;0.012303485987696514;0.17543859649122806;0.23684210526315788;0.7
2020-08-30;75 days 00:00:00.000000000;0.07323607069208087;0.024958081985853874;0.1036842105263158;0.2513157894736842;0.5634517766497462
2020-07-22;75 days 00:00:00.000000000;0.06638468707434225;0.028962649652304825;0.1238300935925126;0.31605471562275017;0.6715116279069767
2020-06-14;75 days 00:00:00.000000000;0.060933716280903306;0.02720054063186349;0.15526802218114602;0.3456561922365989;0.7083333333333334
2020-03-27;75 days 00:00:00.000000000;0.05217391304347826;0.010559006211180125;0.13095238095238096;0.15476190476190477;0.36363636363636365
2020-07-06;75 days 00:00:00.000000000;0.06360909772556861;0.028024243939015245;0.13064833005893908;0.3276031434184676;0.7030075187969925
2020-07-18;75 days 00:00:00.000000000;0.06547096450520506;0.028922613821648062;0.12681992337164752;0.32413793103448274;0.6948640483383686
2020-07-28;75 days 00:00:00.000000000;0.06723667129235865;0.028828506199919425;0.12017310252996005;0.30892143808255657;0.6481994459833795
2020-09-01;75 days 00:00:00.000000000;0.07333385177696555;0.024613111439458744;0.10233297985153765;0.24787910922587486;0.5544041450777202
2020-08-25;75 days 00:00:00.000000000;0.0721497359428394;0.026192140416278348;0.10441334768568353;0.26533907427341225;0.5876288659793815
2020-08-05;75 days 00:00:00.000000000;0.07099290485871955;0.028650263474544625;0.11163062536528345;0.293687901811806;0.6256544502617801
2020-03-28;75 days 00:00:00.000000000;0.05110837438423645;0.011083743842364532;0.13253012048192772;0.1566265060240964;0.36363636363636365
2020-09-20;75 days 00:00:00.000000000;0.07542211045775114;0.01928567376959292;0.09701679618952118;0.1932815241915267;0.4392764857881137
2020-03-29;75 days 00:00:00.000000000;0.05158968206358728;0.011397720455908818;0.1511627906976744;0.16279069767441862;0.38461538461538464
2020-04-25;75 days 00:00:00.000000000;0.04047976011994003;0.013493253373313344;0.18518518518518517;0.24444444444444444;0.68
2020-04-16;75 days 00:00:00.000000000;0.03963521571378464;0.012977902490354262;0.168141592920354;0.23893805309734514;0.6842105263157895
